Ville;Type;Adresse;Commentaire
Mons;Monument;"Avenue Baudouin de Constantinople
7000 Mons";Baudouin de Constantinople
Mons;Monument;"Parvis de Messine
7000 Mons";Marie et Jésus
Mons;Plaque commémorative;"Place des Martyrs
7000 Mons";In Memoriam
Mons;Monument;Rue Pierre-Joseph Duménil;Léopold II
Mons;Plaque commémorative;"Place du Chapitre
7000 Mons";British Empire
Mons;Plaque commémorative;"22 Grand place
7000 Mons";A nos Pionniers 1908
Mons;Monument;"Chaussée de Binche
7000 Mons";The Royal Irish Regiment
Mons;Plaque commémorative;"Rue de la grande Triperie
7000 Mons";Fulgence Masson
Mons;Monument aux morts;"397 Chemin de la Procession
7000 Mons";
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Sirène
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";La Nymphe et les Enfants de Pan
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Bloc Blanc
Mons;Monument;"Rue des Barbelés
7000 Mons";Prison Hitlérienne
Mons;Monument;"Place du Parc
7000 Mons";Citoyens de Mons Morts pour la Patrie
Mons;Monument;"Place des Chasseurs à Pied
7000 Mons";Souvenez-vous 1914 - 1918
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Alphonse Lambillotte
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Sculpture en pierre
Nimy;Monument aux morts;"Rue de l'Egalité
7020 Nimy";
Nimy;Monument aux morts;"Rue de l'Egalité
Cimetière de Nimy
7020 Nimy";
Obourg;Plaque commémorative;"91 Rue de la Brisée
7034 Saint-Denis";40-45 en Souvenir Résistants
Villers-Saint- Ghislain;Monument;;A ses Enfants Morts pour la Patrie
Cuesmes;Plaque commémorative;"Place de Cuesmes
7033 Cuesmes";Félicien Cattier
Cuesmes;Monument;"Place de Cuesmes
7033 Cuesmes";Aux Morts pour la patrie
Cuesmes;Monument;"Place de Cuesmes
7033 Cuesmes";P-J Delsaut
Cuesmes;Monument aux morts;"Place de Cuesmes
7033 Cuesmes";
Flénu;Monument;"Place A. Dooms
7012 Flénu";A ses glorieux Enfants Morts pour la Patrie
Ghlin;Monument aux morts;"Avenue de la Libération
7011 Ghlin";
Jemappes;Monument aux morts;"Avenue Demerbe
7012 Jemappes";
Jemappes;Monument;"Avenue Demerbe
7012 Jemappes";In Memoriam Massacre Allemand
Jemappes;Monument aux morts;"Rue de l'Argilière
Cimetière de Jemappes
7012 Jemappes";
Jemappes;Plaque commémorative;"Place de Jemappes
7012 Jemappes";Paul & Laurent Colmant
Jemappes;Plaque commémorative;"Place de Jemappes
7012 Jemappes";J.M.C. Pinguet
Maisières;Monument aux morts;"Rue des Dames
Maisières";
Maisières;Monument;"Rue des Dames
Maisières";Aux Soldats Anglais Morts pour la Belgique
Maisières;Monument aux morts;"Rue des Fusillés
Maisières";
Maisières;Monument;"Rue Grande
7020 Maisières";22 août 1914
Mesvin;Monument;"Rue Brunehault
Eglise Saint-Vincent  Mesvin
7022 Mesvin";Mesvin A ses Morts Glorieux 14-18
Mons;Monument;"Rampe du Château
7000 Mons";Désiré Prys
Mons;Plaque commémorative;"Grand place
7000 Mons";Aux Créateurs de la Littérature Montoise
Mons;Statue;"22 Grand place
7000 Mons";Singe du Grand Garde
Mons;Monument;"Boulevard Dolez
7000 Mons";First Division
Mons;Plaque commémorative;"22 Grand place
7000 Mons";Hommage Ville de Douai
Mons;Monument;"Rue Achille Legrand
Mons";A Henri Clepin
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";La Caille (ou La Prosternée)
Mons;Monument;"397 Chemin de la Procession
7000 Mons";Tombe Simonet
Mons;Monument;"Grand-Place
7000 Mons";Anneau des Sections
Mons;Monument;"Place charles Simonet
7000 Mons";Charles Simonet
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Léon Souguenet
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Vieil Homme observant le ciel
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Torse de femme
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Femme nue Mains sur hanches
Nimy;Monument;"Place de Nimy
7020 Nimy";Déportés
Nimy;Plaque commémorative;"Quai des Anglais
7020 Nimy";4th BN Royal Fusiliers
Obourg;Monument aux morts;"Place de Saint-Denis
7034 Saint-Denis";
Obourg;Plaque commémorative;"Rue des Fabriques
7034 Obourg";4th Bn Middlesex Regiment
Obourg;Monument;"80 Rue des Ecoles
7034 Obourg";La Commune d'Obourg Reconnaissante
Saint-Symphorien;Monument;"Rue Arthur Dequesnes
7030 Saint-Symphorien";14-18 / 40-45
Spiennes;Monument;"Rue du Petit Spiennes
7032 Spiennes";Morts 14-18
Cuesmes;Plaque commémorative;"Place de Cuesmes
7033 Cuesmes";Jules Cornet
Cuesmes;Monument aux morts;"Rue de la Malogne
7033 Cuesmes";
Ghlin;Monument aux morts;"Rue de Tournai
7011 Ghlin";
Harveng;Monument aux morts;"Place d'Harveng
7022 Harveng";
Havré;Monument;"Rue Marie Joyle
7021 Havré";Combattants de la Guerre
Havré;Oeuvre Publique;"Chaussée du Roeulx
7021 Havré";"""L'Artiste"""
Havré;Monument aux morts;"Rue du Cimetière
Havré";
Hyon;Monument;"Place Jean-Claude Carpentier
7022 Hyon";Aux Enfants d'Hyon Morts pour la Patrie
Jemappes;Monument;"Place du Coq
7012 Jemappes";Bataille de Jemappes
Jemappes;Monument aux morts;"Rue du Couvent
7012 Jemappes";
Jemappes;Monument;"35 Rue du Château Guillochain
7012 Jemappes";Square des Résistants
Jemappes;Monument;"Avenue Wilson
7012 Jemappes";Jemappes a ses Enfants passant Souviens toi
Maisières;Plaque commémorative;"Place de Maisières
Maisières";Soldats britanniques 23 août 1914
Mesvin;Stèle;"Voie Américaine
7022 Mesvin";Aïeux 1830 - Héros 14-18 - Habitants Mesvin
Mesvin;Stèle;"Rue Ottelet
7022 Mesvin";Gabriel Ottelet
Mons;Monument;"Rue des Sœurs Noires
7000 Mons";A la caserne Major Sabbe
Mons;Monument;"Rue du Chapitre
7000 Mons";Cantoria Roland de Lassus
Mons;Monument;"Grand place
7000 Mons";Memorial Marcel Gillis
Mons;Monument;"Place Louise
7000 Mons";"A J;C. Houzeau de Lehaie"
Mons;Plaque commémorative;"22 Grand place
7000 Mons";Canadiens 14 - 18
Mons;Plaque commémorative;"Grand place
7000 Mons";Benoît Quinet
Mons;Plaque commémorative;"Rue d'Enghien 18
7000 Mons";A Leurs Glorieux Morts
Mons;Monument;"Avenue Reine Astrid
7000 Mons
Belgique";Arthur Cantillon
Mons;Plaque commémorative;"Place Léopold
7000 Mons";Jean-François Willems
Mons;Monument;"397 Chemin de la Procession
7000 Mons";Tombe Marguerite Bervoets
Mons;Plaque commémorative;"397 Chemin de la Procession
7000 Mons";Déportés de 14 - 18
Mons;Monument;"Chaussée de Binche
7000 Mons";Forces of British Empire
Mons;Oeuvre Publique;"Boulevard Winston Churchill
7000 Mons";Commémoration guerre 14-18
Mons;Monument;"Place du Parc
7000 Mons";Antoine Clesse
Nimy;Monument;"Rue de l'Egalité
7020 Nimy";Monument des Français
Nimy;Monument;"Rue de l'Egalité
Cimetière de Nimy
7020 Nimy";A nos Martyrs
Nouvelles;Monument aux morts;"Rue Briffaut
Cimetière de Nouvelles
7022 Nouvelles";
Nouvelles;Monument;"Rue du Comte
7022 Nouvelles";A nos Morts pour la Patrie
Saint-Symphorien;Monument aux morts;"Rue Arthur Dequesnes
7030 Saint-Symphorien";
Saint-Symphorien;Monument;"Chemin d'Havré
7030 Saint-Symphorien";Quatre héros de la Résistance
Saint-Symphorien;Monument aux morts;"Chemin d'Havré
7030 Saint-Symphorien";
