Geo Point;Geo Shape;id;Année de pose;Localité;Adresse;Quantité;Type;Précisions
50.4490995989,3.94407882247;"{""type"": ""Point"", ""coordinates"": [3.944078822473284, 50.449099598890584]}";13;2015;MONS;Administration communale;3.0;Arceau en U;
50.4480262135,3.9500610399;"{""type"": ""Point"", ""coordinates"": [3.950061039899301, 50.44802621353609]}";14;2015;MONS;enclos des recollets;2.0;Arceau en U;
50.4480881327,3.94480394;"{""type"": ""Point"", ""coordinates"": [3.944803939998329, 50.44808813266525]}";16;2015;MONS;Ecole Canonniers;4.0;Arceau en U;
50.4500893396,3.95187992946;"{""type"": ""Point"", ""coordinates"": [3.951879929455499, 50.45008933956032]}";20;2015;MONS;Croix Place;2.0;Arceau en U;
50.4558432151,3.95194294189;"{""type"": ""Point"", ""coordinates"": [3.951942941893606, 50.455843215123636]}";21;2018;MONS;Rue Neuve (voirie);2.0;Arceau en U;
50.4456393277,3.95509739977;"{""type"": ""Point"", ""coordinates"": [3.955097399771794, 50.445639327666186]}";38;2018;MONS;Avenue d'Hyon (pharmacie);1.0;Arceau en U;Intersection avec la Rue du Joncquois, en face pharmacie
50.436600088,3.92432106697;"{""type"": ""Point"", ""coordinates"": [3.924321066972309, 50.436600087993874]}";39;2018;CUESMES;Place de Cuesmes;3.0;Arceau en U;
50.4772395719,3.95337522616;"{""type"": ""Point"", ""coordinates"": [3.953375226157871, 50.47723957190383]}";43;2018;NIMY;Place de Nimy;2.0;Arceau en U;Côté pharmacie
50.4392332619,4.01116598371;"{""type"": ""Point"", ""coordinates"": [4.011165983713041, 50.43923326187501]}";52;2018;SAINT-SYMPHORIEN;Chaussée Roi Baudouin;1.0;Arceau en U;Avant arrêt de bus
50.4587854422,3.94999099313;"{""type"": ""Point"", ""coordinates"": [3.949990993132752, 50.45878544220235]}";60;2019;MONS;Rue du Parc;2.0;Arceau en U;
50.4879171762,3.96512456051;"{""type"": ""Point"", ""coordinates"": [3.965124560511022, 50.48791717616897]}";47;2018;MAISIERES;Place de Maisières;2.0;Arceau en U;Salle Calva
50.4525738497,3.9438584931;"{""type"": ""Point"", ""coordinates"": [3.943858493103718, 50.452573849726]}";98;;MONS;Place Leopold II;5.0;Arceau en U;Intersection Place Louise
50.4512778109,3.94621994834;"{""type"": ""Point"", ""coordinates"": [3.946219948339528, 50.45127781090312]}";100;;MONS;Rue des Sœurs Grises;3.0;Arceau en U;
50.4691470795,3.9649858686;"{""type"": ""Point"", ""coordinates"": [3.964985868595662, 50.46914707950227]}";67;2019;MONS;Rue Henri Dunant;2.0;Arceau en U;
50.4542813566,3.95361358579;"{""type"": ""Point"", ""coordinates"": [3.953613585792278, 50.45428135660071]}";108;2021;MONS;Rue de la Seuwe;1.0;Arceau publicitaire;
50.4527346624,3.95206509066;"{""type"": ""Point"", ""coordinates"": [3.952065090657679, 50.45273466244365]}";109;2021;MONS;Place du Marché aux Herbes;4.0;Arceau publicitaire;
50.4522717817,3.95371303942;"{""type"": ""Point"", ""coordinates"": [3.953713039421878, 50.45227178165843]}";111;2021;MONS;Rue de Houdain;4.0;Arceau publicitaire;
50.4522964409,3.95397568076;"{""type"": ""Point"", ""coordinates"": [3.95397568075661, 50.45229644088886]}";112;2021;MONS;Rue de la Halle;1.0;Arceau publicitaire;
