,Unnamed: 0,Ville,Type,Adresse,Commentaire,coordinate,latitude,longitude
24,24,Mons,Plaque commémorative,"Grand-Place
7000 Mons Mons",O.M.B.R.,"50.4362197, 3.9240673",50.4362197, 3.9240673
25,25,Mons,Monument,"Rampe du Château
7000 Mons Mons",Buste Charles Plisnier,"50.4362197, 3.9240673",50.4362197, 3.9240673
26,26,Mons,Plaque commémorative,"Rue des Droits de l'Homme
7000 Mons Mons",Lieutenant John Steinwedel,"50.4257863, 3.9228688",50.4257863, 3.9228688
33,33,Obourg,Monument,"Place de Saint-Denis
7034 Saint-Denis Mons",St-Denis A ses Héros Militaires et Civils,"50.4510709, 3.9353863",50.4510709, 3.9353863
35,35,Obourg,Monument,"80 Rue des Ecoles
7034 Obourg Mons",A Nos héros 14-18 40-45,"50.4607309, 3.9567025",50.4607309, 3.9567025
36,36,Villers-Saint- Ghislain,Stèle,"Rue Jules Beresse
Villers St Ghislain Mons","Philippe de Rombise, ...","50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
37,37,Ciply,Monument,"Place de Ciply
7024 Ciply Mons",Ciply A ses Enfants Morts pour la Patrie,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
38,38,Cuesmes,Monument aux morts,"Place de Cuesmes
7033 Cuesmes Mons",Monument aux Morts pour la Patrie,"50.4604642, 3.9726719",50.4604642, 3.9726719
39,39,Cuesmes,Plaque commémorative,"Place de Cuesmes
7033 Cuesmes Mons",Charles Lemaire,"50.4604642, 3.9726719",50.4604642, 3.9726719
40,40,Cuesmes,Monument,"Rue de la Malogne
7033 Cuesmes Mons","Liberté Patrie - Rien, Personne Oublié","50.4504432, 3.9554155",50.4504432, 3.9554155
42,42,Ghlin,Stèle,"Rue de Tournai
7011 Ghlin Mons",Guerre 40-45,"50.4545397, 3.9408842",50.4545397, 3.9408842
43,43,Ghlin,Stèle,"Rue de Tournai
7011 Ghlin Mons",14-18 A Notre Victorieux Roi Soldat & à ses Héros,"50.4907195, 4.0181059",50.4907195, 4.0181059
44,44,Ghlin,Monument,"Place de Ghlin
7011 Ghlin Mons",La Commune de Ghlin a ses Héros,"50.4342437, 4.0193055",50.4342437, 4.0193055
46,46,Harmignies,Stèle,"Chaussée de Beaumont
7022 Harmignies Mons",40-45 Harmignies A ses Enfants,"50.4741076, 3.8979167",50.4741076, 3.8979167
49,49,Havré,Monument,"Rue du Cimetière
Havré Mons",Combattants de la Guerre,"50.4378183, 3.9597857",50.4378183, 3.9597857
54,54,Mons,Oeuvre Publique,"Square Franklin Delano Roosevelt
7000 Mons Mons",David Mesguich,"50.4596468, 3.9560752",50.4596468, 3.9560752
55,55,Mons,Oeuvre Publique,"Avenue de Jemappes
7000 Mons Mons",Rond Point du Pont Canal,"50.453, 3.9478747",50.453, 3.9478747
56,56,Mons,Monument,"Rue des Fossés
7000 Mons Mons",Léopold II Roi des Belges,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
57,57,Mons,Monument,"Avenue Victor Maistriau
7000 Mons Mons",Lycée M. Bervoets (entrée),"50.452847, 3.9700994",50.452847, 3.9700994
58,58,Mons,Plaque commémorative,"22 Grand place
7000 Mons Mons",Généreux Concours USA,"50.4511032, 3.9516529",50.4511032, 3.9516529
59,59,Mons,Plaque commémorative,"22 Grand place
7000 Mons Mons",General Maurice Rose,"50.4589306, 3.9511615",50.4589306, 3.9511615
61,61,Mons,Monument,"397 Chemin de la Procession
7000 Mons Mons",Albert Salus Patriae Suprema Lex,"50.4455418, 3.9476704",50.4455418, 3.9476704
62,62,Mons,Monument,"Chemin de la Procession
7000 Mons Mons","""Tir Communal""","50.4916654, 4.0168823",50.4916654, 4.0168823
63,63,Mons,Monument,"Avenue Frère Orban
7000 Mons Mons",Au Professeur Jules Cornet 1865 - 1929,"50.4549568, 3.951958",50.4549568, 3.951958
64,64,Mons,Plaque commémorative,"Rue des Droits de l'Homme
7000 Mons Mons",5ème Bataillon de Fusilliers,"50.4362197, 3.9240673",50.4362197, 3.9240673
67,67,Nimy,Stèle,7000 Mons Mons,Albert Beriot & Pol Gigot,"50.4327959, 3.8898538",50.4327959, 3.8898538
70,70,Saint-Denis,Stèle,"Place de Saint-Denis
Saint-Denis Mons",Les habitants de St-Denis A leurs Enfants,"50.44842765, 3.8895248837442007",50.44842765, 3.8895248837442007
71,71,Saint-Symphorien,Monument,"Rue Blancart
7030 Saint-Symphorien Mons",Jésus sur la Croix,"50.4893665, 3.9580014",50.4893665, 3.9580014
74,74,Cuesmes,Plaque commémorative,"Place de Cuesmes
7033 Cuesmes Mons",Auguste Nicodème,"50.4540941, 3.951955",50.4540941, 3.951955
76,76,Ghlin,Monument,"Avenue de la Libération
7011 Ghlin Mons",Ghlin A ses Victimes,"50.4528003, 3.9602154",50.4528003, 3.9602154
77,77,Ghlin,Plaque commémorative,"Rue du grand Marais
7011 Ghlin Mons",Armée Secrète 454 BIS,"50.45498765000001, 3.952291994478284",50.45498765000001, 3.952291994478284
78,78,Harveng,Plaque commémorative,"Place d'Harveng
Harveng Mons",A Nos Glorieuses Victimes,"50.4496709, 3.9459005",50.4496709, 3.9459005
80,80,Hyon,Stèle,"Rue des Canadiens
7022 Hyon Mons",1914 - 1918 Honneur Patrie 1940 - 1945,"50.4540941, 3.951955",50.4540941, 3.951955
84,84,Jemappes,Plaque commémorative,"Place de Jemappes
7012 Jemappes Mons",Morts pour la Patrie,"50.471495, 4.0005091",50.471495, 4.0005091
88,88,Mons,Plaque commémorative,"Grand place
7000 Mons Mons",Georges Raepers,"50.4667307, 4.0532322",50.4667307, 4.0532322
89,89,Mons,Monument,"Avenue Baudouin de Constantinople
7000 Mons Mons",Baudouin de Constantinople,"50.4394591, 3.9607577",50.4394591, 3.9607577
91,91,Mons,Plaque commémorative,"Place des Martyrs
7000 Mons Mons",In Memoriam,"50.4468957, 3.8962355",50.4468957, 3.8962355
92,92,Mons,Monument,Rue Pierre-Joseph Duménil Mons,Léopold II,"50.4879276, 3.9653622",50.4879276, 3.9653622
